countyCode,lossOnly,hyperCount,disasterCount,totalMultiLossProp,countUncluster,Risk_Score,Risk_Category
13217,-0.0,0.0,51.0,3.0,31.0,0.32249375505383315,lower
46049,-0.0,0.0,0.0,0.0,2.0,0.03352162640859045,lowest
26061,2264.1621165118777,0.0,0.0,1.0,5.0,0.6642494733499038,medium
30061,-0.0,0.0,0.0,0.0,4.0,0.049108295065373835,lowest
47051,-0.0,0.0,0.0,5.0,26.0,0.16020071955752463,lower
22029,182551.9942614574,0.0,554.0,148.0,321.0,1.5353296321786207,higher
22063,6982454.179674469,8146.0,33279.0,2125.0,312.0,2.877832491382155,highest
25009,-0.0,0.0,8912.0,760.0,350.0,0.7923609833386281,medium
46019,-0.0,0.0,0.0,1.0,9.0,0.09332837879041991,lowest
08035,-0.0,0.0,0.0,0.0,33.0,0.10759877833761591,lowest
45079,40690.15528053371,0.0,5699.0,68.0,190.0,1.4803843482325665,higher
18095,-0.0,0.0,1679.0,46.0,65.0,0.5766423347139942,medium
40099,2821.7176681632136,0.0,25.0,0.0,6.0,0.8032650426430923,medium
54009,15557.204723578354,181.0,493.0,65.0,52.0,1.7243569339593814,higher
54013,23989.655658007716,0.0,200.0,43.0,50.0,1.240582813204837,higher
51021,-0.0,0.0,33.0,10.0,40.0,0.34538009110374956,lower
30111,-0.0,0.0,117.0,17.0,68.0,0.431380902797824,lower
54043,6797.77094770642,0.0,1235.0,41.0,89.0,1.2390610649946743,higher
06033,-0.0,0.0,60.0,222.0,103.0,0.4991785623729649,medium
13131,-0.0,0.0,195.0,1.0,8.0,0.31800852252288114,lower
18133,-0.0,0.0,101.0,4.0,17.0,0.3414546506800973,lower
16047,-0.0,0.0,0.0,0.0,3.0,0.04229958298135683,lowest
47167,-0.0,0.0,448.0,25.0,40.0,0.4854366597729403,lower
22121,-0.0,19.0,2505.0,31.0,75.0,0.8520396402851809,medium
29171,-0.0,0.0,7.0,0.0,1.0,0.11093455626920701,lowest
56039,-0.0,0.0,0.0,0.0,18.0,0.089842781196547,lowest
55043,-0.0,0.0,639.0,8.0,51.0,0.4726832481334464,lower
38059,-0.0,0.0,132.0,5.0,51.0,0.3913512431400961,lower
37041,-0.0,52.0,1415.0,28.0,30.0,0.883489212951122,medium
37021,-0.0,77.0,1423.0,68.0,104.0,0.9841987267507313,medium
06063,-0.0,0.0,0.0,5.0,10.0,0.13280209772239437,lower
50023,-0.0,202.0,912.0,97.0,68.0,1.0490022738992564,medium
46093,-0.0,0.0,0.0,2.0,15.0,0.12116471404291643,lowest
18097,-0.0,0.0,4238.0,291.0,193.0,0.710298972768694,medium
05017,-0.0,0.0,34.0,35.0,70.0,0.4028480397103503,lower
13021,-0.0,0.0,0.0,19.0,65.0,0.22754581952004033,lower
05115,-0.0,0.0,68.0,10.0,52.0,0.3837718989372467,lower
51175,90156.3221506332,0.0,231.0,15.0,10.0,1.2668110288437249,higher
48183,-0.0,0.0,104.0,28.0,102.0,0.4544387847730448,lower
36087,-0.0,475.0,2229.0,414.0,258.0,1.2518056770877337,higher
05089,55452.416382686206,0.0,20.0,0.0,5.0,1.0154159596923886,medium
08041,-0.0,0.0,770.0,28.0,162.0,0.5545286436833604,medium
29187,28643.362648659502,0.0,209.0,15.0,61.0,1.2282238966295185,higher
48487,-0.0,0.0,0.0,0.0,8.0,0.06704325283074211,lowest
41015,-0.0,0.0,0.0,3.0,22.0,0.14181297664861914,lower
08119,-0.0,0.0,0.0,0.0,6.0,0.059374971247816835,lowest
29049,-0.0,0.0,63.0,0.0,6.0,0.23894450084555985,lower
49051,-0.0,0.0,0.0,1.0,6.0,0.0824452634737935,lowest
16029,-0.0,0.0,0.0,0.0,1.0,0.021149791486864335,lowest
37157,-0.0,0.0,17.0,19.0,50.0,0.3444773359163809,lower
05117,59633.658051670805,0.0,261.0,13.0,9.0,1.2333302081029425,higher
05011,14610.390873598437,0.0,0.0,19.0,42.0,0.9425057893949413,medium
48193,-0.0,0.0,13.0,0.0,1.0,0.1350972802013308,lower
24011,-0.0,22.0,24.0,2.0,15.0,0.5392068468504518,medium
27041,2060.1240686174715,0.0,0.0,2.0,12.0,0.6941704418217167,medium
30043,-0.0,0.0,3.0,0.0,4.0,0.10896480491307273,lowest
51059,-0.0,16.0,407.0,123.0,175.0,0.8299078831378887,medium
30023,-0.0,0.0,0.0,0.0,3.0,0.04229958298135683,lowest
47001,-0.0,0.0,66.0,4.0,16.0,0.3215640102636774,lower
39077,-0.0,0.0,562.0,13.0,41.0,0.4753373792116964,lower
10001,-0.0,22.0,28.0,59.0,83.0,0.6959203875010125,medium
39173,-0.0,0.0,0.0,26.0,44.0,0.22584819214144808,lower
13157,-0.0,0.0,0.0,0.0,5.0,0.054671417905625685,lowest
20003,8628.087576345824,0.0,49.0,0.0,4.0,0.9060684329262658,medium
17095,-0.0,0.0,384.0,1.0,32.0,0.3868034172532453,lower
30107,-0.0,0.0,0.0,0.0,14.0,0.08262992149023773,lowest
47015,-0.0,0.0,52.0,4.0,21.0,0.3193102722098684,lower
23007,-0.0,14.0,0.0,10.0,29.0,0.42460682830531865,lower
21165,54461.201583367554,0.0,172.0,7.0,6.0,1.1790121297638485,medium
08051,-0.0,0.0,0.0,0.0,23.0,0.09697100090605296,lowest
26029,-0.0,0.0,0.0,0.0,6.0,0.059374971247816835,lowest
27151,-0.0,0.0,0.0,0.0,8.0,0.06704325283074211,lowest
39147,-0.0,0.0,97.0,16.0,32.0,0.39895356862287157,lower
13267,-0.0,0.0,6.0,1.0,17.0,0.1952825703346539,lower
48429,-0.0,0.0,43.0,4.0,13.0,0.29748358370463024,lower
37117,-0.0,0.0,750.0,7.0,24.0,0.45332218291414605,lower
30081,-0.0,0.0,0.0,1.0,19.0,0.11447817029101495,lowest
53043,-0.0,0.0,0.0,0.0,7.0,0.06344937447966342,lowest
06081,-0.0,0.0,0.0,61.0,164.0,0.2931612278562098,lower
39171,-0.0,0.0,0.0,3.0,26.0,0.14670546371768833,lower
16021,-0.0,0.0,0.0,0.0,1.0,0.021149791486864335,lowest
39159,-0.0,0.0,3.0,6.0,32.0,0.23131089214915918,lower
39035,-0.0,19.0,13106.0,206.0,262.0,1.02349339680604,medium
48285,-0.0,0.0,100.0,5.0,32.0,0.3655923748072313,lower
40105,-0.0,0.0,88.0,1.0,12.0,0.29514122170567764,lower
41059,-0.0,0.0,165.0,2.0,25.0,0.3567009282919594,lower
20117,1300.1747098112255,0.0,0.0,0.0,14.0,0.6270495815012974,medium
22065,-0.0,0.0,158.0,37.0,89.0,0.4772343861799334,lower
30105,44964.10908628306,0.0,0.0,26.0,48.0,1.0418197406415661,medium
13313,-0.0,0.0,0.0,12.0,35.0,0.19471306152542492,lower
46023,23408.109776041685,0.0,230.0,2.0,7.0,1.0988199635265963,medium
31027,-0.0,0.0,0.0,0.0,4.0,0.049108295065373835,lowest
53035,-0.0,0.0,527.0,5.0,63.0,0.45721752222207,lower
17111,-0.0,0.0,186.0,131.0,118.0,0.5342055704397286,medium
29033,46533.35838552039,0.0,59.0,35.0,52.0,1.2331764313087885,higher
53075,-0.0,0.0,0.0,10.0,14.0,0.16244001989529683,lower
27147,-0.0,0.0,310.0,9.0,18.0,0.41430965179007717,lower
31169,-0.0,0.0,0.0,3.0,15.0,0.13073975044015124,lower
47033,15952.816991095831,0.0,108.0,3.0,9.0,1.0536649568446685,medium
19079,-0.0,0.0,320.0,1.0,3.0,0.3145653795951614,lower
39165,-0.0,0.0,27.0,28.0,73.0,0.3872794288826022,lower
13255,-0.0,0.0,0.0,0.0,13.0,0.08052476274775804,lowest
34019,-0.0,325.0,1254.0,377.0,101.0,1.1617545236178488,medium
29217,-0.0,0.0,63.0,2.0,8.0,0.28317833049152447,lower
